[-0.243, -0.241, -0.235, -0.233]
[-0.989, -0.988, -0.99, -0.986]
[-0.234, -0.228, -0.219, -0.212]
[-0.987, -0.985, -0.984, -0.983]
[-0.2, -0.203, -0.207, -0.218]
[-0.982, -0.981, -0.986, -0.986]
[-0.222, -0.222, -0.223, -0.226]
[-0.997, -0.988, -0.993, -0.989]
[-0.232, -0.24, -0.244, -0.256]
[-0.993, -0.988, -0.976, -1.003]
[-0.244, -0.237, -0.242, -0.254]
[-0.994, -1.026, -0.988, -0.983]
[-0.258, -0.262, -0.261, -0.26]
[-0.98, -0.981, -0.991, -0.989]
[-0.262, -0.262, -0.281, -0.289]
[-0.991, -0.986, -0.989, -0.99]
[-0.29, -0.283, -0.232, -0.221]
[-0.993, -0.997, -0.994, -0.994]
[-0.277, -0.286, -0.295, -0.278]
[-0.997, -0.996, -0.986, -0.988]
[-0.277, -0.272, -0.275, -0.263]
[-0.981, -0.986, -0.988, -0.99]
[-0.259, -0.248, -0.248, -0.244]
[-0.994, -0.994, -0.994, -0.996]
[-0.256, -0.268, -0.263, -0.243]
[-0.992, -0.992, -0.995, -0.993]
[-0.229, -0.228, -0.213, -0.207]
[-0.995, -0.993, -0.992, -0.99]
[-0.207, -0.2, -0.2, -0.205]
[-0.997, -0.995, -0.998, -0.996]
[-0.211, -0.206, -0.208, -0.194]
[-0.997, -0.992, -0.991, -0.995]
[-0.182, -0.155, -0.142, -0.122]
[-0.99, -0.996, -0.99, -0.983]
[-0.116, -0.1, -0.072, -0.048]
[-1.002, -1.0, -0.996, -0.981]
[-0.033, -0.019, 0.027, 0.045]
[-0.987, -0.984, -0.979, -0.976]
[0.045, 0.109, 0.127, 0.148]
[-0.965, -0.965, -0.961, -0.968]
[0.146, 0.17, 0.215, 0.243]
[-0.954, -0.948, -0.928, -0.934]
[0.27, 0.291, 0.319, 0.332]
[-0.917, -0.903, -0.894, -0.878]
[0.373, 0.404, 0.443, 0.443]
[-0.852, -0.836, -0.816, -0.797]
[0.482, 0.496, 0.549, 0.574]
[-0.782, -0.759, -0.739, -0.718]
[0.611, 0.629, 0.675, 0.674]
[-0.696, -0.655, -0.631, -0.598]
[0.722, 0.753, 0.807, 0.777]
[-0.582, -0.549, -0.49, -0.458]
[0.851, 0.866, 0.832, 0.896]
[-0.286, -0.198, -0.174, -0.129]
[0.926, 0.983, 0.945, 0.952]
[-0.087, -0.058, -0.03, -0.036]
[0.994, 0.985, 0.984, 0.97]
[0.036, 0.067, 0.154, 0.238]
[1.008, 0.963, 0.98, 0.981]
[0.25, 0.303, 0.303, 0.325]
[1.005, 0.955, 0.98, 0.941]
[0.349, 0.378, 0.406, 0.474]
[0.931, 0.923, 0.887, 0.927]
[0.526, 0.494, 0.605, 0.571]
[0.868, 0.861, 0.805, 0.811]
[0.695, 0.675, 0.737, 0.786]
[0.77, 0.739, 0.695, 0.68]
[0.801, 0.791, 0.856, 0.829]
[0.643, 0.596, 0.574, 0.538]
[0.9, 0.891, 0.944, 0.932]
[0.484, 0.457, 0.412, 0.361]
[0.923, 0.958, 0.956, 0.971]
[0.309, 0.284, 0.123, 0.077]
[0.982, 0.958, 0.959, 1.045]
[0.106, 0.09, 0.088, 0.029]
[0.986, 1.015, 0.975, 0.993]
[0.021, -0.031, -0.069, -0.105]
[0.952, 0.947, 0.936, 0.945]
[-0.132, -0.196, -0.214, -0.279]
[0.929, 0.908, 0.895, 0.903]
[-0.302, -0.35, -0.436, -0.47]
[0.871, 0.85, 0.863, 0.821]
[-0.533, -0.543, -0.591, -0.593]
[0.814, 0.753, 0.755, 0.708]
[-0.673, -0.706, -0.709, -0.787]
[0.527, 0.529, 0.453, 0.439]
[-0.795, -0.861, -0.837, -0.864]
[0.34, 0.306, 0.241, 0.203]
[-0.89, -0.869, -0.863, -0.996]
[0.147, 0.102, 0.076, 0.021]
[-0.901, -0.978, -0.988, -0.995]
[-0.027, -0.042, -0.097, -0.143]
[-1.024, -1.054, -1.065, -1.014]
[-0.195, -0.252, -0.302, -0.322]
[-1.026, -1.002, -1.03, -1.001]
[-0.34, -0.412, -0.467, -0.553]
[-0.963, -0.984, -0.944, -0.891]
[-0.585, -0.611, -0.671, -0.727]
[-0.9, -0.876, -0.822, -0.811]
[-0.714, -0.757, -0.845, -0.907]
[-0.782, -0.75, -0.692, -0.635]
[-0.861, -0.937, -0.965, -0.98]
[-0.65, -0.543, -0.502, -0.425]
[-0.993, -0.962, -1.013, -1.03]
[-0.402, -0.356, -0.282, -0.233]
[-0.981, -1.004, -0.995, -1.055]
[-0.186, -0.176, -0.11, -0.079]
[-1.009, -1.041, -0.876, -1.016]
[-0.034, -0.001, -0.034, -0.004]
[-1.048, -1.013, -0.945, -0.968]
[0.176, 0.226, 0.294, 0.281]
[-0.981, -0.973, -0.926, -0.866]
[0.31, 0.351, 0.442, 0.45]
[-0.837, -0.833, -0.825, -0.816]
[0.475, 0.476, 0.559, 0.632]
[-0.756, -0.727, -0.696, -0.653]
[0.603, 0.717, 0.746, 0.732]
[-0.632, -0.59, -0.552, -0.528]
[0.794, 0.822, 0.85, 0.93]
[-0.486, -0.431, -0.409, -0.367]
[0.879, 0.925, 0.907, 0.926]
[-0.327, -0.25, -0.184, -0.115]
[0.976, 1.005, 0.977, 1.045]
[-0.085, -0.002, 0.051, 0.078]
[0.972, 0.992, 1.0, 0.951]
[0.109, 0.151, 0.181, 0.299]
[0.938, 0.91, 0.929, 0.872]
[0.301, 0.347, 0.401, 0.418]
