[-0.02, 0.0, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.0]
[0.0, 0.0, -0.02, -0.03]
[-0.09, -0.1, -0.11, -0.12]
[-0.03, -0.04, -0.05, -0.07]
[-0.11, -0.12, -0.13, -0.14]
[-0.08, -0.09, -0.1, -0.11]
[-0.13, -0.14, -0.13, -0.13]
[-0.12, -0.12, -0.12, -0.11]
[-0.12, -0.12, -0.13, -0.12]
[-0.09, -0.09, -0.09, -0.11]
[-0.11, -0.11, -0.09, -0.08]
[-0.09, -0.1, -0.1, -0.09]
[-0.08, -0.07, -0.06, -0.04]
[-0.09, -0.09, -0.08, -0.07]
[-0.02, 0.0, 0.0, 0.0]
[-0.07, -0.06, -0.05, -0.05]
[0.0, 0.0, 0.0, 0.05]
[-0.05, -0.05, -0.03, 0.0]
[0.08, 0.1, 0.11, 0.13]
[0.0, 0.0, 0.0, 0.0]
[0.15, 0.16, 0.17, 0.19]
[0.0, 0.03, 0.05, 0.06]
[0.2, 0.24, 0.27, 0.31]
[0.08, 0.08, 0.11, 0.13]
[0.33, 0.35, 0.37, 0.39]
[0.14, 0.16, 0.17, 0.19]
[0.41, 0.43, 0.46, 0.49]
[0.21, 0.23, 0.27, 0.29]
[0.53, 0.57, 0.62, 0.67]
[0.32, 0.36, 0.4, 0.44]
[0.73, 0.76, 0.81, 0.86]
[0.47, 0.5, 0.56, 0.63]
[0.91, 0.97, 1.02, 1.07]
[0.33, 0.68, 0.73, 0.8]
[1.12, 1.15, 1.2, 1.24]
[0.84, 0.89, 0.93, 0.97]
[1.28, 1.29, 1.34, 1.41]
[1.0, 1.04, 1.1, 1.17]
[1.38, 1.47, 1.5, 1.55]
[1.23, 1.28, 1.35, 1.4]
[1.58, 1.63, 1.65, 1.71]
[1.44, 1.49, 1.56, 1.6]
[1.71, 1.75, 1.79, 1.88]
[1.64, 1.68, 1.73, 1.76]
[1.93, 1.97, 1.97, 2.06]
[1.86, 1.84, 1.91, 1.95]
[2.1, 2.12, 2.17, 2.2]
[1.97, 1.98, 2.03, 2.05]
[2.24, 2.23, 2.27, 2.34]
[2.1, 2.12, 2.17, 2.2]
[2.32, 2.37, 2.41, 2.34]
[2.32, 2.33, 2.33, 2.33]
[2.39, 2.41, 2.38, 2.33]
[2.32, 2.32, 2.33, 2.34]
[2.33, 2.35, 2.41, 2.45]
[2.38, 2.42, 2.42, 2.41]
[2.47, 2.49, 2.57, 2.54]
[2.41, 2.4, 2.43, 2.41]
[2.54, 2.56, 2.55, 2.59]
[2.44, 2.44, 2.48, 2.5]
[2.54, 2.48, 2.45, 2.47]
[2.54, 2.52, 2.48, 2.54]
[2.49, 2.45, 2.45, 2.46]
[2.58, 2.59, 2.53, 2.56]
[2.48, 2.49, 2.46, 2.43]
[2.54, 2.52, 2.49, 2.47]
[2.41, 2.42, 2.38, 2.35]
[2.47, 2.43, 2.41, 2.43]
[2.35, 2.35, 2.33, 2.28]
[2.43, 2.42, 2.38, 2.37]
[2.33, 2.28, 2.39, 2.34]
[2.33, 2.31, 2.27, 2.3]
[2.24, 2.26, 2.17, 2.32]
[2.27, 2.22, 2.19, 2.19]
[2.26, 2.29, 2.26, 2.35]
[2.14, 2.17, 2.17, 2.23]
[2.28, 2.38, 2.4, 2.42]
[2.26, 2.29, 2.32, 2.37]
[2.44, 2.52, 2.6, 2.53]
[2.41, 2.42, 2.46, 2.48]
[2.6, 2.57, 2.6, 2.58]
[2.51, 2.55, 2.57, 2.58]
[2.56, 2.72, 2.64, 2.72]
[2.67, 2.72, 2.77, 2.79]
[2.69, 2.7, 2.71, 2.7]
[2.83, 2.83, 2.83, 2.85]
[2.7, 2.69, 2.7, 2.77]
[2.83, 2.85, 2.85, 2.86]
[2.79, 2.89, 2.87, 2.91]
[2.9, 2.87, 2.9, 2.91]
[2.89, 2.92, 2.94, 2.88]
[2.93, 2.95, 2.97, 2.97]
[2.93, 2.89, 2.94, 2.91]
[2.99, 3.04, 3.04, 3.1]
[2.91, 2.89, 2.87, 2.89]
[3.07, 3.05, 3.08, 3.07]
[2.89, 2.89, 2.89, 2.91]
[3.07, 3.04, 3.07, 3.05]
[2.91, 2.9, 2.9, 2.91]
[3.04, 3.04, 3.0, 3.02]
[2.89, 2.9, 2.87, 2.81]
[2.98, 3.0, 2.96, 2.94]
[2.86, 2.79, 2.77, 2.76]
[2.93, 2.95, 2.91, 2.88]
[2.69, 2.76, 2.7, 2.7]
[2.91, 2.88, 2.88, 2.88]
[2.66, 2.62, 2.69, 2.78]
[2.81, 2.81, 2.82, 2.77]
[2.8, 2.78, 2.63, 2.71]
[2.81, 2.8, 2.84, 2.84]
[2.68, 2.65, 2.71, 2.77]
[2.82, 2.78, 2.78, 2.8]
[2.82, 2.84, 2.81, 2.84]
[2.82, 2.81, 2.84, 2.84]
[2.96, 2.89, 2.94, 2.95]
[2.84, 2.85, 2.87, 2.87]
[2.97, 2.96, 2.94, 2.97]
[2.89, 2.93, 2.98, 3.02]
[2.97, 2.97, 3.05, 3.01]
[3.04, 3.04, 3.07, 3.09]
[3.01, 2.98, 3.0, 3.01]
[3.05, 3.07, 3.05, 3.05]
[3.07, 3.07, 3.1, 3.08]
[3.04, 3.05, 3.11, 3.13]
[3.11, 3.09, 3.09, 3.1]
[3.15, 3.17, 3.17, 3.21]
